equipment_type,equipment_name,brand,age,condition,usage_frequency,fuel_type,horsepower,maintenance_score,location,demand_level,rental_duration_preference,fuel_efficiency,technology_level,weather_dependency,seasonal_demand_multiplier,rental_price_per_day
Cultivator,Manure Spreader Model 15,Brand C,12,New,49,Electric,362,0.6805994826384917,Rural,0.7023934798347791,Long-Term,5.690136417138026,Intermediate,Low,1.1,4733.26
Tractor,Sprayer Model 19,Brand A,1,Good,288,Hybrid,307,0.46692457093940143,Rural,0.6463593541609427,Long-Term,6.258240236743288,Basic,High,1.3,4347.57
Mower,Mower Model 24,Brand D,7,Good,53,Hybrid,164,0.7089048905789789,Urban,0.5190864324361094,Short-Term,9.586062268194585,Basic,Medium,0.8,1447.03
Tractor,Harrow Model 33,Brand A,12,Fair,127,Electric,355,0.8176850109539606,Rural,0.355584566748241,Long-Term,5.680097375590421,Intermediate,High,1.3,2369.19
Combine Harvester,Sprayer Model 19,Brand C,7,Good,141,Electric,199,0.20143076337384758,Rural,0.8827072856499264,Short-Term,6.624145934981456,Intermediate,Low,1.2,3032.6
Combine Harvester,Mower Model 13,Brand C,13,Good,77,Diesel,393,0.257371540667256,Rural,0.3359412260776725,Long-Term,14.526015001832818,Intermediate,High,1.2,2685.59
Combine Harvester,Tractor Model 16,Brand D,10,Fair,171,Electric,175,0.7495733520929472,Suburban,0.41044269125794086,Short-Term,14.356139031659223,Intermediate,Medium,1.2,768.29
Seed Drill,Cultivator Model 28,Brand A,3,Good,81,Diesel,193,0.7350314999623296,Rural,0.938961993970388,Short-Term,7.87604314114223,Advanced,High,1.2,6955.15
Cultivator,Tractor Model 8,Brand C,8,Good,194,Diesel,161,0.9181650604491369,Rural,0.3469166394796279,Long-Term,10.120016233584714,Basic,Low,1.1,771.01
Combine Harvester,Harrow Model 28,Brand C,4,Good,297,Hybrid,311,0.6757951987433958,Urban,0.8306678690345765,Short-Term,10.360109261907738,Advanced,High,1.2,5079.0
Combine Harvester,Plough Model 34,Brand A,7,Fair,38,Diesel,300,0.9770022807130472,Urban,0.5656988930458446,Short-Term,14.589951112051105,Intermediate,Low,1.2,4249.7
Sprayer,Plough Model 47,Brand B,10,Fair,255,Diesel,351,0.4733282058224252,Suburban,0.14234461199210258,Long-Term,10.240811574455648,Intermediate,Medium,0.9,879.95
Harrow,Plough Model 1,Brand A,9,Poor,64,Electric,280,0.13706088407182082,Rural,0.41170664152774683,Short-Term,13.900999866740797,Basic,High,1.0,1666.18
Harrow,Seed Drill Model 5,Brand D,6,Good,59,Hybrid,77,0.2172468282085639,Urban,0.4615630091004842,Long-Term,8.000179502347292,Basic,Low,1.0,667.63
Seed Drill,Plough Model 33,Brand A,12,Fair,262,Diesel,185,0.6598794192165273,Urban,0.2787833571225258,Short-Term,12.150356072690458,Advanced,Medium,1.2,1144.32
Seed Drill,Harrow Model 36,Brand A,6,Good,219,Electric,230,0.4943188265758247,Urban,0.8732733438619035,Short-Term,5.358903972660009,Basic,Low,1.2,3417.21
